thalnum,Easting,Northing,elevation
%d,%f,%f,%f
131,652495.6382,4860841.525,135.013
132,652506.0888,4860805.079,127.364
133,652527.7229,4860788.975,131.329
134,652526.8719,4860782.657,128.655
135,652526.2883,4860769.821,128.44
136,652525.7146,4860753.382,128.3
137,652530.6501,4860740.271,128.169
138,652548.0014,4860707.74,127.848
139,652539.4329,4860691.899,127.894
140,652557.6058,4860675.258,127.681
141,652590.6673,4860642.77,126.509
142,652599.0686,4860634.013,126.26
143,652638.896,4860608.373,125.588
144,652655.0052,4860594.616,125.215
145,652677.1382,4860592.014,138.872
146,652675.402,4860588.816,124.667
147,652766.4515,4860527.584,123.686
148,652767.9879,4860468.478,126.829
149,652782.36,4860442.723,124.383
150,652829.8252,4860384.725,129.094
151,652826.2071,4860330.865,124.534
152,652834.577,4860307.301,129.953
153,652843.1828,4860279.71,121.985
154,652845.6774,4860245.37,120.253
155,652860.4801,4860176.814,120.856
156,652849.2173,4860156.219,124.787
157,652847.9375,4860139.569,121.573
158,652835.7515,4860119.904,121.425
159,652792.0922,4860069.452,119.978
160,652799.4946,4860056.759,119.629
161,652789.9833,4859957.785,124.61
162,652781.2049,4859948.872,126.099
163,652765.3492,4859942.822,124.008
164,652750.5508,4859911.941,123.903
165,652749.3397,4859875.071,125.044
166,652719.701,4859839.953,118.874
167,652742.473,4859812.065,117.573
168,652773.5478,4859777.555,116.896
169,652773.654,4859721.3,116.279
170,652780.2084,4859711.893,116.215
171,652786.6608,4859705.952,115.875
172,652797.5048,4859703.655,116.042
173,652819.5745,4859734.857,116.196
174,652813.1471,4859638.41,116.638
175,652843.9654,4859629.073,115.628
176,652889.1683,4859617.432,117.299
177,652975.012,4859494.956,118.525
178,652997.8476,4859445.464,114.027
179,653029.3333,4859404.955,116.372
180,653078.5739,4859350.303,119.981
181,653059.81,4859333.078,128.334
182,653097.3875,4859293.285,119.287
183,653214.7568,4859254.543,120.362
184,653287.1848,4859219.407,119.643
185,653352.0462,4859195.936,107.177
186,653405.5056,4859169.245,119.287
187,653398.816,4859124.532,105.143
188,653410.7088,4859093.52,104.790127
189,653412.8763,4859089.035,104.646623
190,653417.0522,4859085.222,104.465865
191,653417.7277,4859080.641,104.316313
192,653418.5034,4859079.646,104.002747
193,653420.0079,4859068.065,103.669703
194,653421.1602,4859065.622,103.601921
195,653422.6578,4859062.199,103.465612
196,653423.105,4859059.578,103.471678
197,653422.3024,4859057.555,103.231063
198,653423.6034,4859055.349,102.629165
199,653425.0285,4859054.418,102.58108
200,653427.4994,4859054.174,102.801996
201,653431.7125,4859053.974,103.073282
202,653434.3843,4859053.498,103.181785
203,653440.8866,4859052.706,103.397445
204,653442.8402,4859053.368,103.551385
205,653445.4605,4859054.701,103.709842
206,653447.9648,4859056.251,103.723247
207,653451.8354,4859057.505,103.696084
208,653454.7817,4859057.329,103.564193
209,653456.6633,4859057.584,103.579973
210,653458.4917,4859056.967,103.726906
211,653459.9907,4859056.308,103.695586
212,653462.3048,4859055.399,103.458156
213,653463.4495,4859054.728,103.472132
214,653463.4453,4859049.466,103.001194
215,653464.7235,4859045.816,103.036658
216,653465.2565,4859043.093,103.154491
217,653465.8441,4859038.521,103.211879
218,653465.7686,4859035.143,103.093916
219,653466.1103,4859032.335,102.955114
220,653468.078,4859029.481,102.843278
221,653468.6642,4859027.525,102.929461
222,653471.2532,4859025.191,102.911979
223,653471.3936,4859022.953,102.761493
224,653471.4395,4859020.045,102.630635
225,653472.6098,4859017.618,102.447859
226,653473.0878,4859016.185,102.156959
227,653474.5134,4859014.488,102.075094
228,653478.275,4859014.199,102.354552
229,653480.1523,4859012.907,102.328129
230,653486.671,4859008.438,102.215879
231,653490.2203,4859007.693,102.259041
232,653493.3289,4859007.033,102.079478
233,653495.6263,4859005.31,102.360851
234,653498.3698,4859005.144,102.062087
235,653502.8087,4859006.722,102.500463
236,653505.8668,4859005.872,102.512865
237,653509.5161,4859008.139,102.341491
238,653514.0584,4859011.138,102.553671
239,653517.8475,4859014.519,102.879795
240,653520.0218,4859015.752,102.998952
241,653520.2881,4859017.056,102.959486
242,653527.5171,4859021.292,102.956154
243,653532.3372,4859022.851,102.944713
244,653534.4287,4859026.171,103.134807
245,653539.7864,4859027.284,103.318019
246,653542.8122,4859027.761,103.499483
247,653545.7271,4859028.862,103.384972
248,653548.8369,4859027.634,102.996173
249,653552.2434,4859016.861,102.990162
250,653553.697,4859009.002,104.231
251,653612.7841,4859004.684,103.023
252,653633.153,4858991.292,100.318
253,653670.5697,4858945.539,99.205
254,653672.2066,4858943.915,99.186
255,653692.7556,4858919.516,98.885
256,653716.2135,4858906.234,98.456
257,653738.2631,4858907.15,98.299
258,653766.0022,4858889.52,98.647
259,653835.517,4858833.343,96.615
260,653844.3296,4858823.624,96.357
261,653853.5636,4858812.626,95.963
262,653862.4764,4858806.114,95.723
263,653876.5329,4858721.789,93.061
264,653900.4092,4858702.065,93.848
265,653902.041,4858682.588,93.261
266,653922.293,4858650.707,95.414
267,653928.8731,4858608.549,93.069
268,653946.6888,4858596.144,93.848
269,653970.4328,4858556.945,92.318
270,653991.478,4858536.672,94.303
271,653994.2696,4858511.033,98.087
272,654000.9057,4858484.793,90.382
273,654039.5392,4858489.041,91.571
274,654054.7891,4858490.744,89.588
275,654059.8601,4858475.339,89.098
276,654069.6548,4858468.746,88.756
277,654092.7513,4858469.452,88.441
278,654103.652,4858467.404,88.229
279,654114.3322,4858458.012,88.218
280,654165.6,4858440.232,87.832
281,654221.7173,4858443.022,87.252
282,654250.1189,4858424.097,87.141
283,654258.2372,4858412.361,86.977
284,654276.8631,4858405.294,88.883
285,654314.4289,4858383.761,86.56
286,654324.4694,4858359.142,86.405
287,654341.5576,4858356.651,86.146
288,654350.1391,4858353.786,86.108
289,654364.1867,4858346.579,86.114
290,654388.3648,4858358.863,85.798
291,654397.3388,4858347.708,85.712
292,654410.9493,4858322.267,85.406
293,654441.7307,4858317.528,85.593
294,654452.0869,4858311.835,85.246
